FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
0.1667162,760.3094,1.1152285,1.3218082,1.0035824,203.83704,8.566036,334.31906,0.80977273,1.2293632,0.99327034,1.0079005,1.3261298,1.0006078,1.3108444,1.0018932,3.3872356,0.27174422,999.3532,1.0099425,1.0399296,1.033801,1.8345008,1.0027186,1.1025918,147.89905,291.23596,0.04779937,391.44467,0.9908678,1.2661523,1.0007074,0.9837775,0.952929,7.7341094,223.79448,266.37692,12.525466,0.29791442,0.21247531,0.06647791,-0.019068662,0.93096197,0.98908246,45.471367,-0.07968675,34.488632,-0.004368386,0.987282,1.0053751,0.9850481,Attack
-0.7469374,896.60767,0.66628987,1.0973465,1.0406711,207.23875,8.550945,333.29233,0.12593384,0.88454217,1.0943527,0.9912277,1.0366517,0.9994368,1.0788233,0.9990286,3.8378906,0.28043053,968.6277,1.0203813,1.0522205,0.9923823,1.9450167,0.99872035,1.1381857,141.71492,189.04971,1.2476853,482.40836,0.97872466,1.7632095,0.99889565,0.98623425,1.7651407,7.693716,151.81119,265.6149,12.785465,1.31048,0.95319384,0.5607836,0.22459953,1.7787045,0.9881084,192.14488,0.83083564,140.47816,-0.00073496887,1.0117606,1.0003027,0.983694,Attack
-0.080407396,813.11536,0.9844955,1.0049942,0.9997707,193.87483,8.577426,349.0742,0.029031465,1.0209725,0.9915375,0.9964316,1.014066,1.0009389,1.0219524,1.00052,2.2525797,0.05703809,1010.55023,1.003528,1.0321684,1.0059282,1.9682082,1.0001268,1.0263458,147.48935,322.45328,0.016548775,248.99438,0.9907889,1.0030226,0.9995496,0.9935322,1.0251716,7.5386233,223.01854,268.00818,14.945531,0.018498145,0.002992346,0.011548207,0.008480709,1.0161935,0.9999503,13.10691,0.0107989395,4.95185,0.004209051,0.9939875,1.0008562,0.99826723,Attack
-0.13141312,809.41876,0.9713569,0.99291456,0.98137367,194.41478,8.562104,356.583,-0.029158285,1.0034131,1.0214282,1.0002617,0.98632705,1.0003657,1.0056121,0.9996437,0.84954923,0.01929977,1006.73816,1.0131917,0.9913974,1.0025148,1.9758219,0.99699867,1.0010476,148.25868,333.86942,-0.008503534,251.18265,0.9877777,1.0164354,0.99982166,0.9908206,0.9983944,7.507398,215.85664,268.6539,14.586685,0.016070567,0.014063253,0.00818883,0.0058944034,0.99540263,1.0015556,12.644675,0.011161991,5.3579473,0.0014172449,0.9979172,1.0052428,0.9993899,Attack
0.3882402,771.5554,1.1760015,0.9584942,0.9725459,189.45291,8.639141,318.3508,-0.039168168,0.9702111,1.0270377,1.0005488,0.9714331,0.99932253,0.9591931,0.9999315,-1.7226276,-0.1435115,978.6324,0.9438084,0.9025401,0.9691518,1.6023937,0.99629444,0.92954946,150.0018,172.1283,1.546603,663.53906,0.96071243,1.9072975,1.000759,0.9821319,1.9397292,7.7245955,154.02872,264.23917,16.907352,1.5539818,1.1920167,0.65832645,0.27545914,1.9377315,1.009206,228.34746,0.8444232,169.78383,0.0384773,0.9912373,0.99239886,0.97887933,Attack
-0.05612327,810.1958,1.0096488,1.0187831,0.9932744,191.75322,8.580341,346.9963,0.03844924,1.0142045,0.99093276,0.99979013,1.0133182,0.99944,1.0261018,0.99945205,1.8151875,0.07241013,1025.3171,1.0003444,1.0060365,0.99709463,1.9768511,1.0040373,1.0289004,149.20557,318.3782,-0.032610394,248.62286,0.989759,0.9853788,1.0004104,0.9967687,0.98252624,7.556733,222.03362,267.81186,14.30102,-0.042113222,-0.03396587,-0.012837066,-0.008300949,0.97821033,1.004563,3.7262487,-0.046614997,-0.40750965,-0.0010134232,0.99387586,0.9990562,0.9957625,Attack
-0.05843772,820.3949,0.9885894,1.0049243,1.0090947,195.05597,8.525248,368.50052,0.0031580431,1.0159467,0.9910037,0.99645627,0.99378926,0.99989957,1.0195756,1.0001185,1.7362642,0.031414054,1013.0905,1.0142529,1.0038666,1.0015388,1.9784482,0.9990404,1.0271046,145.98206,344.46796,0.0113303885,249.70926,0.9839204,1.0109947,0.9989847,0.9929671,1.0204961,7.432258,202.0581,269.49213,15.608478,0.016206704,0.012058332,0.012239144,0.0047131586,1.0090828,0.99975246,11.886237,0.0007921538,2.8538277,0.0028016625,0.99467325,1.0021666,0.99207145,Attack
0.4294401,790.1313,1.1039852,1.0045626,0.99916154,249.21536,8.480076,328.88876,0.028069923,1.0416367,1.0440531,1.0032676,1.0158169,0.99926907,1.0346843,0.997947,21.629837,0.17197135,966.20703,1.0173615,1.2864372,1.0363777,1.3169923,1.008303,1.0483248,147.31348,161.19254,1.6872576,746.8315,1.0062982,1.9899193,0.9982948,1.0117137,1.9682539,7.8237963,142.04666,270.08347,9.545597,1.659986,1.2018119,0.7133847,0.29609066,1.9496197,1.0008037,242.7211,1.2843269,182.16614,-0.037837025,1.0109588,0.9955918,1.0029575,Attack
-0.101524964,818.7669,0.9872209,1.0022924,0.99725586,192.70787,8.57812,349.38452,0.019373009,0.99811417,0.99572116,0.9983485,1.003228,1.0003836,1.0155319,1.0000883,1.3494396,0.05274286,1017.60187,1.0016613,1.0076829,1.003722,1.9905174,1.0006435,1.0274475,147.21504,325.4208,-0.006914355,242.76071,0.98433065,0.9929293,0.9998581,0.99226356,1.0049145,7.538721,225.3465,267.99167,15.149589,-0.0036136277,-0.0092606405,0.0012563332,0.0033481675,0.9974612,1.0028323,8.988471,0.0016467057,2.2064278,0.007616892,0.99280494,1.0011132,0.9948666,Attack
0.37236658,762.5228,1.1289651,1.2112758,1.0092282,197.26663,8.582137,331.45047,0.5445621,1.1609912,1.0249696,0.9988731,1.2018468,1.0012584,1.2151254,1.0017548,3.5405073,0.18160799,1016.81464,1.0041125,1.0302125,1.0259874,1.9010167,1.0038208,1.0773828,148.47171,295.20175,-0.032510497,339.30893,0.97861874,1.1677363,1.0002127,0.9913532,0.95169693,7.705341,233.56108,265.94653,12.534871,0.17680368,0.1265892,0.03879918,-0.011422534,0.9450664,0.9994394,29.545599,-0.028825156,21.223038,-0.0021037075,0.9927455,0.9948852,0.9897788,Attack
